Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
01/03/2022,182.01,144.99,338.54,170.4
01/04/2022,180.855,144.695,337.535,168.96
01/05/2022,178.877,142.39,333.08,167.427
01/06/2022,177.157,141.23,332.925,166.382
01/07/2022,176.16,140.388,332.698,165.616
01/10/2022,175.498,140.102,331.927,164.928
01/11/2022,175.439,140.05,332.276,164.99
01/12/2022,174.513,139.541,331.521,164.249
01/13/2022,173.44,138.711,330.086,163.347
01/14/2022,173.176,138.954,331.19,163.03
01/18/2022,172.861,138.704,329.146,162.411
01/19/2022,172.013,138.433,327.403,161.519
01/20/2022,170.916,137.667,325.759,160.116
01/21/2022,169.106,136.326,321.301,156.87
01/24/2022,167.119,134.807,317.794,153.917
01/25/2022,165.346,133.143,314.033,150.886
01/26/2022,163.434,131.679,308.709,147.561
01/27/2022,161.923,130.679,305.35,144.807
01/28/2022,162.509,130.426,302.796,143.047
01/31/2022,163.976,130.71,302.324,142.747
02/01/2022,165.719,131.751,304.586,143.969
02/02/2022,167.75,134.209,306.627,144.836
02/03/2022,169.624,136.516,297.714,144.673
02/04/2022,171.439,138.524,289.494,147.354
02/07/2022,173.216,139.981,279.533,149.969
02/08/2022,173.859,140.846,267.886,152.459
02/09/2022,174.073,141.744,256.277,154.119
02/10/2022,173.717,141.884,243.287,155.234
02/11/2022,172.689,139.924,228.509,155.617
02/14/2022,172.114,138.844,225.643,157.949
02/15/2022,172.171,137.89,223.344,157.787
02/16/2022,172.299,137.681,222.149,157.81
02/17/2022,171.449,136.701,220.367,156.844
02/18/2022,170.166,135.103,216.676,155.617
02/22/2022,169.051,133.844,212.963,154.36
02/23/2022,167.827,132.889,209.949,153.151
02/24/2022,166.95,132.483,208.506,152.607
02/25/2022,165.816,132.176,207.003,152.219
02/28/2022,164.754,131.793,206.216,151.57
03/01/2022,163.943,132.01,205.613,151.069
03/02/2022,163.837,132.606,205.891,150.99
03/03/2022,164.11,133.19,206.019,150.661
03/04/2022,164.553,133.807,206.249,150.777
03/07/2022,164.061,132.906,203.373,148.79
03/08/2022,163.003,131.854,200.489,146.25
03/09/2022,162.693,131.62,198.699,144.21
03/10/2022,162.024,131.387,197.516,143.593
03/11/2022,160.334,130.716,194.587,142.66
03/14/2022,158.104,129.58,192.253,141.796
03/15/2022,156.95,129.193,191.106,142.043
03/16/2022,156.991,130.179,193.414,144.279
03/17/2022,157.446,131.141,195.921,147.311
03/18/2022,157.593,131.529,198.491,150.45
03/21/2022,158.573,132.053,200.817,152.546
03/22/2022,160.586,133.481,204.966,155.313
03/23/2022,163.384,135.243,208.799,158.393
03/24/2022,166.096,137.01,212.733,160.719
03/25/2022,168.257,138.209,215.331,162.386
03/28/2022,170.397,139.297,217.581,164.064
03/29/2022,172.537,140.209,219.491,165.216
03/30/2022,174.307,141.043,221.829,165.903
03/31/2022,175.134,140.929,222.644,165.633
04/01/2022,175.72,141.196,224.271,165.654
04/04/2022,176.344,141.396,226.317,166.326
04/05/2022,176.393,141.241,227.749,166.224
04/06/2022,175.854,140.54,227.707,164.763
04/07/2022,174.88,139.594,226.72,163.116
04/08/2022,173.783,138.359,225.931,161.424
04/11/2022,172.517,136.894,225.089,159.727
04/12/2022,171.567,135.117,223.559,157.903
04/13/2022,170.419,133.249,220.859,156.073
04/14/2022,169.023,131.269,217.764,154.309
04/18/2022,168.057,130.001,215.974,153.454
04/19/2022,167.38,129.161,215.169,153.503
04/20/2022,166.971,128.411,212.039,153.437
04/21/2022,167.067,127.839,207.983,153.034
04/22/2022,166.229,126.686,203.693,152.114
04/25/2022,165.154,125.711,199.693,150.761
04/26/2022,163.941,124.557,195.517,149.001
04/27/2022,162.727,122.644,190.4,146.914
04/28/2022,162.19,121.003,188.746,144.983
04/29/2022,160.821,119.013,188.753,140.737
05/02/2022,159.613,117.837,192.047,137.337
05/03/2022,159.283,117.507,196.036,134.466
05/04/2022,159.731,117.391,201.239,131.589
05/05/2022,159.727,117.086,205.143,128.306
05/06/2022,159.829,117.294,209.26,124.963
05/09/2022,158.174,116.436,207.9,119.847
05/10/2022,157.726,116.476,207.497,117.644
05/11/2022,156.089,116.05,204.299,114.911
05/12/2022,153.671,115.409,201.329,112.437
05/13/2022,150.97,114.521,197.787,110.599
05/16/2022,149.366,114.226,196.61,109.799
05/17/2022,148.217,114.329,196.446,109.884
05/18/2022,146.611,114.241,195.879,109.644
05/19/2022,144.16,113.669,194.97,109.424
05/20/2022,142.887,112.999,195.656,109.741
05/23/2022,142.966,112.806,196.369,109.831
05/24/2022,142.001,111.366,193.891,108.551
05/25/2022,141.284,110.133,191.576,107.976
05/26/2022,140.504,108.893,190.006,107.363
05/27/2022,141.764,108.953,190.419,108.511
05/31/2022,143.406,109.436,190.754,110.353
06/01/2022,144.994,110.147,190.054,112.366
06/02/2022,146.151,111.023,190.43,114.93
06/03/2022,146.869,112.247,191.787,117.537
06/06/2022,147.671,113.82,193.276,120.11
06/07/2022,148.376,115.157,193.85,121.813
06/08/2022,148.136,115.853,194.066,122.674
06/09/2022,147.25,116.007,192.689,122.094
06/10/2022,145.596,115.617,190.821,120.376
06/13/2022,142.834,114.013,185.879,117.256
06/14/2022,141.031,112.896,182.014,114.393
06/15/2022,139.501,111.887,178.457,111.947
06/16/2022,136.837,110.299,173.489,109.184
06/17/2022,134.494,108.863,168.789,107.047
06/21/2022,133.527,108.391,164.939,105.98
06/22/2022,133.273,108.439,162.121,105.88
06/23/2022,134.186,109.274,161.334,107.133
06/24/2022,135.457,110.881,162.253,109.154
06/27/2022,136.347,111.749,162.273,109.947
06/28/2022,137.401,112.603,162.246,110.481
06/29/2022,138.497,113.254,162.274,110.867
06/30/2022,138.619,112.886,162.874,110.514
07/01/2022,139.13,112.493,163.471,110.601
07/05/2022,139.6,112.639,164.82,110.753
07/06/2022,139.78,112.153,164.764,110.449
07/07/2022,140.45,112.574,165.15,110.893
07/08/2022,141.821,113.623,166.607,112.056
07/11/2022,142.627,114.191,166.456,112.46
07/12/2022,143.933,114.914,166.744,112.89
07/13/2022,144.87,115.287,167.239,113.01
07/14/2022,145.857,114.874,165.79,112.6
07/15/2022,146.893,114.476,165.066,112.489
07/18/2022,146.996,113.083,164.357,112.121
07/19/2022,147.561,112.291,165.057,112.503
07/20/2022,148.729,112.037,167.944,114.077
07/21/2022,150.084,112.083,170.787,116.279
07/22/2022,151.313,111.59,171.613,117.996
07/25/2022,151.953,111.181,172.841,119.497
07/26/2022,152.157,110.216,172.049,119.677
07/27/2022,153.546,110.791,172.384,120.707
07/28/2022,154.453,110.85,170.233,121.289
07/29/2022,155.806,111.196,166.806,123.029
08/01/2022,156.686,111.27,163.486,124.566
08/02/2022,157.531,112.303,162.189,126.243
08/03/2022,159.414,113.813,162.496,128.869
08/04/2022,161.444,115.694,164.127,132.834
08/05/2022,162.667,116.324,163.774,135.667
08/08/2022,163.741,116.764,165.136,138.114
08/09/2022,164.086,116.809,166.483,138.526
08/10/2022,165.19,117.5,169.113,139.569
08/11/2022,166.401,118.03,171.584,140.494
08/12/2022,167.254,118.544,173.256,141.07
08/15/2022,168.309,119.1,174.73,141.157
08/16/2022,169.406,119.704,176.496,141.726
08/17/2022,170.789,120.026,177.153,142.11
08/18/2022,172.107,120.531,178.029,142.749
08/19/2022,172.433,120.176,176.546,142.111
08/22/2022,172.301,119.519,174.483,141.051
08/23/2022,171.606,118.401,171.713,139.633
08/24/2022,170.797,117.203,169.194,138.293
08/25/2022,170.369,116.481,167.667,137.221
08/26/2022,168.807,115.166,165.8,135.6
08/29/2022,166.983,113.63,163.587,133.813
08/30/2022,165.181,112.449,162.044,132.456
08/31/2022,163.703,111.589,162.027,131.534
09/01/2022,162.379,111.0,162.634,130.706
09/02/2022,160.704,110.166,162.214,129.807
09/06/2022,158.49,108.76,160.751,128.211
09/07/2022,157.396,108.633,160.553,128.03
09/08/2022,156.406,108.484,160.966,128.034
09/09/2022,156.186,108.729,162.679,128.683
09/12/2022,157.073,109.106,163.54,130.066
09/13/2022,156.484,108.331,161.793,129.923
09/14/2022,156.43,107.924,160.529,130.083
09/15/2022,156.121,107.367,159.244,130.107
09/16/2022,155.37,106.417,157.23,129.264
09/19/2022,155.374,105.659,155.224,128.527
09/20/2022,155.307,104.3,151.93,126.944
09/21/2022,153.92,102.646,148.096,124.386
09/22/2022,153.763,102.049,146.623,123.027
09/23/2022,153.049,101.154,145.043,120.906
